fishery,stat_area,vessels,landings,live_number,live_lbs,deadloss_number,deadloss_lbs,effort,cpue,avg_wt,price_lbs
TR19,615601,1,2,0,0,,,10,0,,
TR19,615630,2,4,485,3427.62,,,212,2.287735849,7.067257732,9.097607384
TR19,625600,6,8,448,3108.83,1,1.55,110,4.081818182,6.927349666,9.035323313
TR19,625630,6,9,2848,20780.5,4,26.89,540,5.281481481,7.295718794,9.031299072
TR19,635530,2,2,2,14,,,45,0.044444444,7,9
TR19,635600,40,81,128666,896969.94,232,1582.59,8388,15.36695279,6.97103547,9.011770748
TR19,635630,39,68,59707,421337.52,155,1059.09,4527,13.22332671,7.056172697,9.007075781
TR19,635700,1,1,0,0,,,20,0,,
TR19,645530,2,3,11,76,,,13,0.846153846,6.909090909,9.1
TR19,645600,50,100,173221,1254044.35,525,3892.66,10973,15.83395607,7.240091916,9.005744271
TR19,645630,47,86,164685,1182794.56,319,2311.22,9540,17.29601677,7.182285157,9.005574736
TR19,655630,1,1,20,141.68,,,80,0.25,7.084,9
QB19,695530,2,5,4529,18367.27,93,374.51,275,16.80727273,4.054906967,6.510000178
QB19,695600,2,4,11505,55049.92,263,1254.54,1415,8.316607774,4.784539429,6.437501046
QB19,705530,2,5,8811,35711.13,161,667.69,474,18.92827004,4.054705751,6.437499881
QB19,705600,1,2,3655,14523.68,92,368.26,138,27.15217391,3.974363491,6.074999928
QB19,735730,1,1,77,326,2,10,31,2.548387097,4.253164557,6.8
QB19,745730,1,1,10,43,,,10,1,4.3,6.8
SB19,745830,1,1,1,4,,,9,0.111111111,4,6.8
SB19,755830,1,1,0,0,,,5,0,,
SB19,775830,1,1,571,2615,17,79,109,5.394495413,4.581632653,6.8
SB19,775900,1,1,10,48,,,40,0.25,4.8,6.8
SB19,775930,1,1,2,9,,,11,0.181818182,4.5,6.8
SB19,785830,1,1,468,2142,14,65,109,4.422018349,4.578838174,6.8
SB19,785900,1,1,120,547,4,18,59,2.101694915,4.556451613,6.8
SB19,785930,1,1,0,0,,,18,0,,
SB19,786000,1,1,0,0,,,50,0,,
SB19,786030,1,1,0,0,,,10,0,,
OB19,695200,2,11,14653,60858.42,105,442.4,442,33.38914027,4.153734923,4.555079032
OB19,695238,2,13,26272,110539.88,196,820.2,797,33.20953576,4.207347741,4.558752667
OB19,695239,2,15,36496,153547.22,287,1207.26,798,46.09398496,4.207228339,4.540057409
OB19,695240,1,1,686,2971.56,3,12.69,39,17.66666667,4.331277213,4.5
OB19,695301,2,14,26255,110449.8,206,862.34,964,27.44917012,4.206649031,4.553409579
OB19,695302,2,13,26570,112012.7,207,870.93,616,43.46915584,4.215693692,4.558757986
OB19,705200,2,24,98955,406317.87,690,2840.43,2751,36.22137405,4.106159868,4.907060432
OB19,705232,2,29,267581,1120382.49,2018,8453.17,7417,36.34879331,4.187091421,4.899147018
OB19,705233,2,7,5539,22925.35,58,237.21,252,22.21031746,4.138388422,4.675833374
OB19,705234,1,1,814,3450.72,3,14.72,17,48.05882353,4.241664627,4.5
OB19,705300,2,17,23178,97795.53,174,731.84,789,29.59695817,4.21922619,4.541953774
OB19,715130,1,14,18065,78903.12,397,1731.16,578,31.94117647,4.367580977,4.5
OB19,715201,2,10,8682,35387.8,55,223.23,206,42.41262136,4.075887604,5.102857143
OB19,715202,3,36,162937,687693.42,2293,9854.71,5452,30.30630961,4.221679659,4.659571998
OB19,715231,3,34,56416,242462.72,1063,4618.33,1758,32.69567691,4.298631674,4.673772283
OB19,715232,3,30,72986,309722.63,1245,5361.44,1608,46.16355721,4.24464267,4.664415586
OB19,725130,1,10,15382,67357.2,317,1389.56,534,29.3988764,4.379053443,4.5
OB19,725201,2,18,112791,492103.92,2448,10694.9,3261,35.33854646,4.363096,4.5
OB19,725203,1,16,6936,30326.08,157,694.53,264,26.86742424,4.373411814,4.5
OB19,725230,1,12,12861,56096.82,298,1306.75,513,25.65107212,4.362304886,4.5
OB19,735201,1,7,2329,10126.21,54,227.51,119,20.02521008,4.34482585,4.500000189
OB19,735230,1,10,9988,43490.54,230,1012.69,500,20.436,4.355375807,4.5
RB19,745131,1,2,180,870,14,65,47,4.127659574,4.819587629,4.5
RB19,765100,1,2,1805,7638.88,28,113.32,70,26.18571429,4.22924168,4.5
RB19,765132,1,5,4979,21622.24,72,306.88,140,36.07857143,4.341540289,4.5
RB19,765141,2,2,220,938,1,5,46,4.804347826,4.266968326,4.5
RB19,765144,2,4,875,4015.08,10,43.96,89,9.943820225,4.586485876,4.5
RB19,765203,2,4,402,1718,6,26,115,3.547826087,4.274509804,4.5
RB19,765204,2,5,1375,5986.04,23,95.99,149,9.382550336,4.350522175,4.5
RB19,775131,1,9,6906,29499.16,118,499.92,354,19.84180791,4.270939636,4.5
RB19,775133,1,3,536,2242,13,54,49,11.20408163,4.182149362,4.5
RB19,775134,1,5,942,3954,20,87,98,9.816326531,4.200623701,4.5
RB19,775135,1,3,455,1929,11,47,48,9.708333333,4.240343348,4.5
RB19,775137,1,1,504,2107,3,12,51,9.941176471,4.179487179,4.5
RB19,775138,2,5,1157,5045.08,17,69.96,95,12.35789474,4.35693356,4.5
RB19,785102,1,12,25328,107415.6,386,1659.51,1275,20.16784314,4.241856965,4.5
RB19,785103,1,8,3325,14180.66,52,219.99,183,18.45355191,4.264332248,4.5
RB19,785131,1,12,35258,150402.78,578,2437.11,1319,27.16906748,4.264981862,4.5
RB19,785132,1,10,5093,21455.82,91,388.56,260,19.93846154,4.21380787,4.5
RB19,785134,1,12,14019,59118.64,218,920.73,677,21.0295421,4.217136335,4.5
RB19,785135,1,6,3263,13654,66,276,297,11.20875421,4.184439772,4.5
RB19,795102,1,8,7912,35290.16,127,546.92,343,23.43731778,4.457902724,4.5
RB19,795131,1,10,9632,40655.8,145,615.84,325,30.08307692,4.221298967,4.5
RB19,795132,1,11,22698,96374.34,396,1656.48,601,38.42595674,4.244861003,4.5
RB19,795200,2,20,18796,80743.44,366,1568.62,1687,11.35862478,4.295588143,4.5
RB19,795230,1,10,13134,56820.34,277,1205.54,1145,11.71266376,4.326737753,4.5
RB19,805101,1,6,2918,12231.92,47,194.64,128,23.1640625,4.191082631,4.5
RB19,805102,1,3,752,3201,18,76,59,13.05084746,4.255844156,4.5
RB19,805103,2,21,18472,79472.06,314,1345.62,1088,17.26654412,4.302016395,4.5
RB19,805131,1,10,18890,80078.94,324,1371.38,722,26.61218837,4.239113147,4.5
RB19,805132,2,22,45114,192852.62,798,3417.38,2083,22.04128661,4.274917233,4.5
RB19,805133,1,12,3925,16927.38,79,335.14,180,22.24444444,4.311318681,4.5
RB19,805201,2,22,28399,120588.42,508,2166.5,1391,20.78145219,4.246546511,4.5
RB19,805230,1,3,565,2536.48,13,58.88,48,12.04166667,4.490242215,4.5
RB19,815100,2,20,33062,142476.58,621,2673.48,1585,21.2511041,4.309297272,4.5
RB19,815131,2,19,10744,46562.06,229,999.66,811,13.53020962,4.334431787,4.5
RB19,815132,1,9,4604,19786.24,91,388.36,308,15.24350649,4.297039404,4.5
RB19,815134,1,2,161,679,2,10,31,5.258064516,4.226993865,4.5
RB19,815136,1,3,1091,4856.12,15,63.94,131,8.442748092,4.448517179,4.5
RB19,815202,2,2,259,1069,6,25,64,4.140625,4.128301887,4.5
RB19,825132,1,10,7710,33686.28,173,762.92,525,15.0152381,4.370062159,4.5
RB19,825134,1,1,105,450,2,10,22,4.863636364,4.299065421,4.5
RB19,825201,1,12,15503,67064.58,312,1357.98,846,18.69385343,4.326434398,4.5
RB19,825202,1,11,5451,23323.34,119,510.74,274,20.32846715,4.279008977,4.5
RB19,825203,1,10,5599,24290.64,114,496.96,324,17.63271605,4.338806231,4.5
RB19,835130,2,24,16488,72436.24,355,1568.68,1114,15.11938959,4.393808704,4.5
RB19,835200,1,11,31895,138320.04,676,2947.08,2066,15.76524685,4.33720549,4.5
RB19,845130,2,26,20806,91727.38,448,1972.46,1924,11.04677755,4.408574386,4.5
RB19,845201,1,10,3054,13206.48,59,254.88,228,13.65350877,4.324240283,4.5
RB19,845202,2,22,67421,292931.7,1356,5924.35,4607,14.92880399,4.345290577,4.5
RB19,845230,1,1,109,484,2,10,11,10.09090909,4.45045045,4.5
RB19,855130,1,3,148,632,1,6,6,24.83333333,4.281879195,4.5
RB19,855200,2,17,32832,151878.44,676,3137.64,3321,10.08973201,4.626240898,4.5
RB19,855231,1,15,15724,72908,324,1506,1972,8.137931034,4.636964108,4.5
RB19,855232,1,9,583,2705,14,58,95,6.284210526,4.628140704,4.5
RB19,865203,1,9,800,3888,22,99,259,3.173745174,4.850364964,4.5
RB19,865205,1,3,0,0,,,26,0,,
RB19,865231,1,4,347,1618,6,26,58,6.086206897,4.657223796,4.5
RB19,865233,1,12,1279,6012,36,171,246,5.345528455,4.701901141,4.5
RB19,865234,1,1,16,82,,,39,0.41025641,5.125,4.5
RB19,865235,1,5,696,3290,27,127,142,5.091549296,4.726141079,4.5
RB19,865301,1,6,689,3316,14,65,89,7.898876404,4.809388336,4.5
RB19,865302,1,1,113,578,1,5,15,7.6,5.114035088,4.5
RB19,875232,1,16,28157,131859.95,624,2905.75,2872,10.02123955,4.682453702,4.500000069
RB19,875301,1,13,4161,19768.65,98,463.25,701,6.075606277,4.750387415,4.500000254
RB19,875302,1,12,3274,15518,97,449,444,7.592342342,4.736576683,4.5
RB19,885230,1,11,1963,9261,57,268,149,13.55704698,4.717326733,4.5
RB19,885300,1,12,2567,12304,69,326,410,6.429268293,4.791350531,4.5
RB19,895230,1,12,10052,47665,315,1485,949,10.92413066,4.741005112,4.5
RB19,895300,1,13,12105,57350.4,335,1568,1098,11.32969035,4.736205788,4.5
XR19,635530,1,2,112,801,1,7,7,16.14285714,7.150442478,10.77
XR19,635600,1,2,6079,43278,55,391,192,31.94791667,7.119171829,10.77
XR19,635630,1,2,928,6609,8,60,26,36,7.125,10.77
XR19,645530,1,2,107,759,1,7,21,5.142857143,7.092592593,10.77
XR19,645600,1,2,6638,47268,60,427,231,28.995671,7.120782323,10.77
XR19,645630,1,2,3150,22429,29,204,88,36.125,7.119534445,10.77
XR19,655630,1,2,19,132,,,10,1.9,6.947368421,10.77
QO19,655530,1,1,0,0,,,19,0,,
QO19,655600,1,1,0,0,,,19,0,,
QO19,665500,1,1,0,0,,,3,0,,
QO19,665530,2,2,711,824.98,6,6.08,102,7.029411765,1.159079498,3.150003636
QO19,665600,1,2,150,178,2,2,36,4.222222222,1.184210526,3.15
QO19,675500,1,3,291,346,4,4,5,59,1.186440678,3.15
QO19,675530,4,4,6135,7356.48,59,72.64,120,51.61666667,1.199405877,3.149999579
QO19,675600,16,34,246338,299410.74,3568,4276.38,3024,82.64087302,1.215205397,3.150000109
QO19,675630,11,17,28358,34117.09,448,543.18,600,48.01,1.203230924,3.150000122
QO19,675700,1,2,115,149,2,2,16,7.3125,1.290598291,3.15
QO19,685500,1,1,0,0,,,2,0,,
QO19,685530,2,2,1564,1758.2,22,24.08,18,88.11111111,1.123757881,3.15
QO19,685600,17,39,223205,262515.24,5897,6754.12,2681,85.4539351,1.175325226,3.150000125
QO19,685630,17,46,932766,1152192.48,10213,12531.25,9909,95.16389141,1.235153413,3.149999987
QO19,695600,1,1,0,0,,,10,0,,
QO19,695800,1,1,1167,1294.8,5,4.8,98,11.95918367,1.10887372,3.15
QO19,705600,5,6,366,429.7,2,1.54,65,5.661538462,1.171847826,3.150011395
QO19,705630,8,9,13246,15575,146,173.9,355,37.72394366,1.17599313,3.152196682
QO19,705800,1,1,1458,1618.5,5,6,62,23.59677419,1.11038961,3.150003089
QO19,715600,7,11,9340,10839.44,95,109.79,152,62.07236842,1.160490726,3.150003422
QO19,715630,43,152,4197563,4729194.86,37166,42286.52,29137,145.3385386,1.126750113,3.150109007
QO19,715700,38,139,2861052,3307660.76,35675,40952.55,19709,146.9748338,1.155998929,3.150000087
QO19,715730,36,110,2659377,2996920.74,38412,42917.73,14852,181.644829,1.126788815,3.149999744
QO19,715800,21,48,1418728,1583516.24,33865,37465.57,9287,156.4114353,1.115922912,3.153730605
QO19,715830,6,14,35120,40995.64,475,552.12,278,128.0395683,1.167235848,3.152752639
QO19,725600,2,5,4945,5686.86,26,29.61,35,142.0285714,1.14996379,3.150000162
QO19,725630,37,99,2644673,3018688.2,25262,28803.61,15228,175.3306409,1.141410488,3.149829263
QO19,725700,39,140,2781701,3217801.52,30850,35621.42,20067,140.1580206,1.156751625,3.149882133
QO19,725730,41,121,3007622,3456310.73,35896,40893.96,19199,158.524819,1.149066537,3.150000049
QO19,725800,17,45,974714,1118705.34,24082,26934.8,6881,145.1527394,1.147021153,3.155367275
QO19,725830,7,13,61545,70247.42,1071,1209.02,489,128.0490798,1.141185001,3.182172965
QO19,725900,1,1,118,150,2,2,11,10.90909091,1.266666667,3.15
QO19,735630,1,3,6090,7001,103,118,20,309.65,1.149523656,3.15
QO19,735700,8,10,3873,4685.72,48,56.62,110,35.64545455,1.209472073,3.15564715
QO19,735730,15,27,375027,489778.21,4342,5641.21,2798,135.5857756,1.305903803,3.150000046
QO19,735800,14,22,381781,470225.62,5424,6494.85,2872,134.8206825,1.231183662,3.152761131
QO19,735830,7,9,55823,71171.42,494,623,684,82.33479532,1.274826784,3.150000151
QO19,735900,4,5,8616,11517,83,106,174,49.99425287,1.33613059,3.15
QO19,745700,1,2,330,374,2,2,6,55.33333333,1.13253012,3.15
QO19,745800,6,9,25032,30975.78,199,247.19,262,96.30152672,1.237484444,3.149999964
QO19,745830,8,11,241698,326582.28,2379,3205.92,2439,100.0725707,1.351164592,3.156902286
QO19,745900,3,4,473,621,5,5,150,3.186666667,1.309623431,3.15
QO19,745930,7,8,97913,132236.57,541,723.18,670,146.9462687,1.350475857,3.15
QO19,755830,3,3,13,16,,,164,0.079268293,1.230769231,3.15
QO19,755900,6,10,155793,220262.81,1402,1979.99,987,159.2654509,1.413803238,3.150000107
QO19,755930,20,55,2761405,3832303.13,33977,44290.06,16094,173.6909407,1.386784772,3.151480123
QO19,756000,14,31,443414,576074.66,5493,7177.44,1781,252.0533408,1.299271564,3.150654811
QO19,765830,1,1,2,3,,,17,0.117647059,1.5,3.15
QO19,765900,1,2,0,0,,,68,0,,
QO19,765930,12,26,196821,262505.2,2471,3313.8,1171,170.1895816,1.333816711,3.159066507
QO19,766000,14,36,1403219,1836392.64,15981,20908.07,5925,239.5274262,1.30869554,3.15359431
QO19,775900,1,2,1,2,,,46,0.02173913,2,3.15
QO19,776000,2,3,220,266,2,2,51,4.352941176,1.207207207,3.15
XE19,715130,1,1,3037,13245.04,50,214.56,83,37.19277108,4.360090703,3.01999994
XE19,715202,1,1,11012,48013.27,178,777.78,496,22.56048387,4.360236819,3.020000096
XE19,715231,1,1,759,3311.26,12,53.64,66,11.68181818,4.364332036,3.02000145
XE19,725201,1,1,13291,57947.05,215,938.7,332,40.68072289,4.359969643,3.019999983
XE19,725203,1,1,4557,19867.56,74,321.84,112,41.34821429,4.359619952,3.01999994
XE19,725230,1,1,1899,8278.15,31,134.1,99,19.49494949,4.358678756,3.019999638
XE19,735230,1,1,3418,14900.67,55,241.38,135,25.72592593,4.359933775,3.019999772
QT19,675600,2,3,,,11,16,421,0.026128266,1.454545455,
QT19,675630,1,1,,,0,0.5,10,0,,
QT19,685600,2,3,,,11,16.04,559,0.019677996,1.458181818,
QT19,685630,2,4,,,71,107.46,965,0.07357513,1.513521127,
QT19,705630,1,1,,,1,1.25,88,0.011363636,1.25,
QT19,715630,4,4,,,6,8.92,879,0.006825939,1.486666667,
QT19,715700,4,5,,,2,2.22,431,0.004640371,1.11,
QT19,715730,4,4,,,2,3.37,831,0.002406739,1.685,
QT19,725630,4,4,,,3,5.1,1000,0.003,1.7,
QT19,725700,2,2,,,4,5.41,698,0.005730659,1.3525,
QT19,725730,3,3,,,9,12.64,793,0.011349306,1.404444444,
QT19,725800,1,1,,,4,6.09,237,0.016877637,1.5225,
QT19,735730,1,1,,,0,0,27,0,,
QT19,735800,1,1,,,0,0.04,21,0,,
QT19,735830,1,1,,,0,0.36,40,0,,
QT19,735900,1,1,,,1,0.6,53,0.018867925,0.6,
